Time;Position; Rotation.X; Rotation.Y;FPS; Input;
58204.1293;(-41.8600, 103.5100, -695.7500);0.0000;0.0000;Infinity;EyeTrackerSynchro;
58204.1873;(-41.8600, 103.5100, -695.7500);0.0000;0.0000;Infinity;;
58204.1923;(-41.8600, 103.4982, -695.7500);0.0000;0.0000;Infinity;;
58204.2433;(-41.8600, 103.4708, -695.7500);0.0000;0.0000;126.4711;;
58204.5673;(-41.8600, 103.4001, -695.7500);0.0000;0.0000;78.4690;;
58204.6833;(-41.8600, 102.4270, -695.7500);0.0000;0.0000;22.7818;;
58204.7413;(-41.8600, 101.8031, -695.7500);0.0000;0.0000;19.5547;;
58204.7953;(-41.8600, 101.5057, -695.7500);359.4000;359.3000;19.2970;;
58204.8783;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;19.2192;;
58204.9493;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;18.1386;;
58205.0043;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;17.6427;;
58205.0563;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;17.6975;;
58205.1073;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;17.8489;;
58205.1573;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;17.9948;;
58205.2083;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;18.1792;;
58205.2593;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;18.3144;;
58205.3103;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;18.4410;;
58205.3613;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;18.5377;;
58205.4124;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;18.6467;;
58205.4634;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;18.7364;;
58205.5144;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;18.8244;;
58205.5654;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;18.8864;;
58205.6164;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;18.9836;;
58205.6664;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;19.0426;;
58205.7184;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;19.1054;;
58205.7724;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;19.1459;;
58205.8224;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;19.0482;;
58205.8724;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;19.1587;;
58205.9234;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;19.2330;;
58205.9734;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;19.2889;;
58206.0224;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;19.3467;;
58206.0744;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;19.4248;;
58206.1244;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;19.4413;;
58206.1754;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;19.4757;;
58206.2264;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;19.4928;;
58206.2774;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;19.5120;;
58206.3284;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;19.5085;;
58206.3794;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;19.5400;;
58206.4304;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;19.5276;;
58206.4814;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;19.5334;;
58206.5324;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;19.5398;;
58206.5834;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;19.5648;;
58206.6344;(-41.8600, 101.5123, -695.7500);359.1000;359.1000;19.5735;;
58206.6864;(-41.8600, 101.5123, -695.7500);356.0000;6.4000;19.5642;;
58206.7424;(-41.8600, 101.5123, -695.7500);350.5000;21.0000;19.5384;;
58206.7954;(-41.8600, 101.5123, -695.7500);348.1000;26.8000;19.3343;;
58206.8614;(-41.8600, 101.5123, -695.7500);348.1000;26.8000;19.2977;;
58206.9294;(-41.8600, 101.5123, -695.7500);348.0000;26.8000;18.7820;;
58206.9914;(-41.8600, 101.5123, -695.7500);334.5000;22.9000;18.2583;;
58207.0304;(-41.8600, 101.5123, -695.7500);319.0000;31.0000;18.0552;;
58207.0974;(-41.8600, 101.5123, -695.7500);311.7000;45.5000;18.6182;;
58207.1224;(-41.8600, 101.5123, -695.7500);290.3000;77.7000;18.1451;;
58207.1565;(-41.8600, 101.5123, -695.7500);283.6000;89.9802;19.1796;;
58207.1895;(-41.8600, 101.5123, -695.7500);275.2000;90.0000;19.8621;;
58207.2225;(-41.8600, 101.5123, -695.7500);268.0000;90.0000;20.5791;;
58207.2565;(-41.8600, 101.5123, -695.7500);262.5000;90.0000;21.2585;;
58207.2895;(-41.8600, 101.5123, -695.7500);258.0000;89.9802;21.8889;;
58207.3225;(-41.8600, 101.5123, -695.7500);257.5000;90.0000;22.5049;;
58207.3555;(-41.8600, 101.5123, -695.7500);257.5000;90.0000;23.0797;;
58207.3895;(-41.8600, 101.5123, -695.7500);257.5000;90.0000;23.6264;;
58207.4225;(-41.8600, 101.5123, -695.7500);257.5000;90.0000;24.1523;;
58207.4555;(-41.8600, 101.5123, -695.7500);257.5000;90.0000;24.6278;;
58207.4895;(-41.8600, 101.5123, -695.7500);257.5000;90.0000;25.0763;;
58207.5225;(-41.8600, 101.5123, -695.7500);257.5000;90.0000;25.4939;;
58207.5555;(-41.8600, 101.5123, -695.7500);257.5000;90.0000;25.8748;;
58207.5895;(-41.8600, 101.5123, -695.7500);257.5000;90.0000;26.2359;;
58207.6225;(-41.8600, 101.5123, -695.7500);257.5000;90.0000;26.5670;;
58207.6565;(-41.8600, 101.5123, -695.7500);257.5000;90.0000;26.8742;;
58207.6895;(-41.8600, 101.5123, -695.7500);257.5000;90.0000;27.1534;;
58207.7225;(-41.8600, 101.5123, -695.7500);257.5000;90.0000;27.4053;;
58207.7565;(-41.8600, 101.5123, -695.7500);257.5000;90.0000;27.6461;;
58207.7895;(-41.8600, 101.5123, -695.7500);257.5000;90.0000;27.8653;;
58207.8225;(-41.8600, 101.5123, -695.7500);257.5000;90.0000;28.0604;;
58207.8705;(-41.8600, 101.5123, -695.7500);257.5000;90.0000;28.2495;;
58207.9065;(-41.8600, 101.5123, -695.7500);257.5000;90.0000;27.3006;;
58207.9405;(-41.8600, 101.5123, -695.7500);257.1000;90.0000;27.3495;;
58207.9735;(-41.8600, 101.5123, -695.7500);255.4000;90.0000;27.5726;;
58208.0065;(-41.8600, 101.5123, -695.7500);254.6000;90.0000;27.7906;;
58208.0405;(-41.8600, 101.5123, -695.7500);254.6000;89.8002;27.9837;;
58208.0735;(-41.8600, 101.5123, -695.7500);257.4000;83.0000;28.1654;;
58208.1065;(-41.8600, 101.5123, -695.7500);265.2000;69.4000;28.3638;;
58208.1415;(-41.8600, 101.5123, -695.7500);272.5000;57.7000;28.5253;;
58208.1735;(-41.8600, 101.5123, -695.7500);278.0000;48.3000;28.5913;;
58208.2065;(-41.8600, 101.5123, -695.7500);284.6000;37.5000;28.7811;;
58208.2505;(-41.8600, 101.5123, -695.7500);291.0000;29.5000;28.9033;;
58208.2895;(-41.8600, 101.5123, -695.7500);303.1000;20.7000;28.1397;;
58208.3375;(-41.8600, 101.5123, -695.7500);310.1000;15.5000;27.8700;;
58208.3885;(-41.8600, 101.5123, -695.7500);314.6000;8.5000;26.9806;;
58208.4385;(-41.8600, 101.5123, -695.7500);320.0000;9.8000;26.0320;;
58208.4885;(-41.8600, 101.5123, -695.7500);320.3000;11.8000;25.2364;;
58208.5375;(-41.8600, 101.5123, -695.7500);319.8000;9.6000;24.6085;;
58208.5885;(-41.8600, 101.5123, -695.7500);321.2000;4.8000;24.0971;;
58208.6385;(-41.8600, 101.5123, -695.7500);321.4000;1.7000;23.5621;;
58208.6885;(-41.8600, 101.5123, -695.7500);321.7000;2.1000;23.1674;;
58208.7385;(-41.8600, 101.5123, -695.7500);323.1000;3.2000;22.7803;;
58208.7885;(-41.8600, 101.5123, -695.7500);323.8000;3.9000;22.5061;;
58208.8435;(-41.8600, 101.5123, -695.7500);324.4000;4.5000;22.2303;;
58208.8986;(-41.8600, 101.5123, -695.7500);324.6000;4.8000;21.7387;;
58208.9546;(-41.8600, 101.5123, -695.7500);324.6000;4.8000;21.3119;;
58209.0096;(-41.8600, 101.5123, -695.7500);324.6000;4.8000;20.9107;;
58209.0656;(-41.8600, 101.5123, -695.7500);324.5000;4.8000;20.5818;;
58209.1216;(-41.8600, 101.5123, -695.7500);321.9000;4.8000;20.2910;;
58209.1766;(-41.8600, 101.5123, -695.7500);317.9000;4.8000;19.9943;;
58209.2316;(-41.8600, 101.5123, -695.7500);317.5000;4.8000;19.8021;;
58209.2836;(-41.8600, 101.5123, -695.7500);314.9000;4.5000;19.6362;;
58209.3366;(-41.8600, 101.5123, -695.7500);311.3000;3.0000;19.5926;;
